Calle marron 1|1|1|60|2|10|60|180|320|450|30|50|0|0|2
Arca Comunal|0|4|0|0|0|0|0|0|0|0|0|4|1|5
Calle marron 2|1|1|60|4|20|60|180|320|450|30|50|0|0|7
Impuestos sobre Ingresos|0|4|0|0|0|0|0|0|0|0|0|2|200|10
Ferrocarril 1|0|2|200|25|50|100|200|0|0|100|0|0|0|12
Calle azul claro 1|2|1|100|6|30|90|270|400|550|50|50|0|0|15
Fortuna|0|4|0|0|0|0|0|0|0|0|0|4|2|17
Calle azul claro 2|2|1|100|6|30|90|270|400|550|50|50|0|0|20
Calle azul claro 3|2|1|120|8|40|100|300|450|600|60|50|0|0|22
Carcel|0|4|0|0|0|0|0|0|0|0|0|5|0|25
Calle magenta 1	|3|1|140|10|50|150|450|625|750|70|100|0|0|27
Electricidad|0|2|150|0|0|0|0|0|0|75|0|0|0|30
Calle magenta 2|3|1|140|10|50|150|450|625|750|70|100|0|0|32
Calle magenta 3|3|1|160|12|60|180|500|700|900|80|100|0|0|35
Ferrocarril 2|0|2|200|25|50|100|200|0|0|100|0|0|0|37
Calle naranja 1|4|1|180|14|70|200|550|750|960|90|100|0|0|40
Arca Comunal|0|4|0|0|0|0|0|0|0|0|0|4|1|42
Calle naranja 2|4|1|180|14|70|200|550|750|960|90|100|0|0|45
Calle naranja 3|4|1|200|16|80|220|600|800|1000|100|100|0|0|47
Parada Libre|0|4|0|0|0|0|0|0|0|0|0|5|0|50
Calle roja 1|5|1|220|18|90|250|700|875|1050|110|150|0|0|52
Fortuna|0|4|0|0|0|0|0|0|0|0|0|4|2|55
Calle roja 2|5|1|220|18|90|250|700|875|1050|110|150|0|0|57
Calle roja 3|5|1|240|20|100|300|750|925|1100|120|150|0|0|60
Ferrocarril 3|0|2|200|25|50|100|200|0|0|100|0|0|0|62
Calle amarilla 1|6|1|260|22|110|330|880|975|1150|130|150|0|0|65
Calle amarilla 2|6|1|260|22|110|330|880|975|1150|130|150|0|0|67
Agua|0|2|150|0|0|0|0|0|0|75|0|0|0|70
Calle amarilla 3|6|1|280|24|120|360|850|1025|1200|140|150|0|0|72
Reten|0|4|0|0|0|0|0|0|0|0|0|3|0|75
Calle verde 1|7|1|300|26|130|390|900|1100|1275|150|200|0|0|77
Calle verde 2|7|1|300|26|130|390|900|1100|1275|150|200|0|0|80
Arca Comunal|0|4|0|0|0|0|0|0|0|0|0|4|1|82
Calle verder 3|7|1|320|28|150|450|1000|1200|1400|160|200|0|0|85
Ferrocarril 4|0|2|200|25|50|100|200|0|0|100|0|0|0|85
Fortuna|0|4|0|0|0|0|0|0|0|0|0|4|2|90
Calle azul oscuro 1|8|1|350|35|175|500|1100|1300|1500|175|200|0|0|92
Impuesto sobre posesiones de lujo|0|4|0|0|0|0|0|0|0|0|0|2|100|95
Calle azul oscuro 2|8|1|400|50|200|600|1400|1700|2000|200|200|0|0|97
